,Parameter,splib07a_Montmorillonite_CM20_BECKb_AREF.txt
0,HCPINDEX2,-0.03582654064823251
1,LCPINDEX2,-0.10697945561542374
2,OLINDEX3,0.27459015165489675
3,SINDEX2,0.10300111913695231
4,GINDEX,-0.005741556465549019
5,D460,0.06272300725800528
6,BD530_2,-0.03966772338002511
7,BD670,-0.004753944106242525
8,D700,0.0077966084890429554
9,BD875,0.0011036607702025192
10,BD920_2,0.054879406579374734
11,BD1200,0.004162570370621066
12,BD1300,-0.10866405211200658
13,BD1400,0.160607407927286
14,BD1450,0.22594877209842934
15,BD1750,-0.005737936611840411
16,BD1900r2,0.4898875111641109
17,BD1900_2,0.4640223301081349
18,BD2100_2,-0.3819632079079165
19,BD2100_3,-0.2239890078580007
20,BD2165,-0.10400783691115567
21,BD2190,-0.007744391052134425
22,D2200,0.1430808978467396
23,BD2210_2,0.1823097294841879
24,BD2250,0.05759734367302849
25,BD2265,-0.030126617979966852
26,BD2290,-0.11575133714107011
27,D2300,-0.10977425451798739
28,BD2355,0.025331287837047523
29,BDCARB,-0.03677836416744884
30,MIN2295_2480,-0.07328078827764362
31,MIN2250,-0.018010531240600036
32,MIN2345_2537,-0.08656082187305603
33,ISLOPE,0.5823758976157081
34,RPEAK1,0.7394630483447759
35,BDI1000VIS,0.1805757622188282
36,IRR2,0.5720435754752438
